,title,keywords,period,ratio
14,가뭄,"가뭄, 가뭄 피해, 농작물 가뭄, 가뭄 작황, 강수량 부족, 논밭 가뭄, 가뭄 농업, 가뭄 대비, 물 부족, 가뭄 영향",2017-03-01,0.02957
15,가뭄,"가뭄, 가뭄 피해, 농작물 가뭄, 가뭄 작황, 강수량 부족, 논밭 가뭄, 가뭄 농업, 가뭄 대비, 물 부족, 가뭄 영향",2017-04-01,0.0363
16,가뭄,"가뭄, 가뭄 피해, 농작물 가뭄, 가뭄 작황, 강수량 부족, 논밭 가뭄, 가뭄 농업, 가뭄 대비, 물 부족, 가뭄 영향",2017-05-01,0.16072
17,가뭄,"가뭄, 가뭄 피해, 농작물 가뭄, 가뭄 작황, 강수량 부족, 논밭 가뭄, 가뭄 농업, 가뭄 대비, 물 부족, 가뭄 영향",2017-06-01,1.43121
18,가뭄,"가뭄, 가뭄 피해, 농작물 가뭄, 가뭄 작황, 강수량 부족, 논밭 가뭄, 가뭄 농업, 가뭄 대비, 물 부족, 가뭄 영향",2017-07-01,0.54709
19,가뭄,"가뭄, 가뭄 피해, 농작물 가뭄, 가뭄 작황, 강수량 부족, 논밭 가뭄, 가뭄 농업, 가뭄 대비, 물 부족, 가뭄 영향",2017-08-01,0.0721
20,가뭄,"가뭄, 가뭄 피해, 농작물 가뭄, 가뭄 작황, 강수량 부족, 논밭 가뭄, 가뭄 농업, 가뭄 대비, 물 부족, 가뭄 영향",2017-09-01,0.03981
21,가뭄,"가뭄, 가뭄 피해, 농작물 가뭄, 가뭄 작황, 강수량 부족, 논밭 가뭄, 가뭄 농업, 가뭄 대비, 물 부족, 가뭄 영향",2017-10-01,0.0301
22,가뭄,"가뭄, 가뭄 피해, 농작물 가뭄, 가뭄 작황, 강수량 부족, 논밭 가뭄, 가뭄 농업, 가뭄 대비, 물 부족, 가뭄 영향",2017-11-01,0.03781
23,가뭄,"가뭄, 가뭄 피해, 농작물 가뭄, 가뭄 작황, 강수량 부족, 논밭 가뭄, 가뭄 농업, 가뭄 대비, 물 부족, 가뭄 영향",2017-12-01,0.03043
24,가뭄,"가뭄, 가뭄 피해, 농작물 가뭄, 가뭄 작황, 강수량 부족, 논밭 가뭄, 가뭄 농업, 가뭄 대비, 물 부족, 가뭄 영향",2018-01-01,0.03195
25,가뭄,"가뭄, 가뭄 피해, 농작물 가뭄, 가뭄 작황, 강수량 부족, 논밭 가뭄, 가뭄 농업, 가뭄 대비, 물 부족, 가뭄 영향",2018-02-01,0.04526
26,가뭄,"가뭄, 가뭄 피해, 농작물 가뭄, 가뭄 작황, 강수량 부족, 논밭 가뭄, 가뭄 농업, 가뭄 대비, 물 부족, 가뭄 영향",2018-03-01,0.0658
27,가뭄,"가뭄, 가뭄 피해, 농작물 가뭄, 가뭄 작황, 강수량 부족, 논밭 가뭄, 가뭄 농업, 가뭄 대비, 물 부족, 가뭄 영향",2018-04-01,0.05462
28,가뭄,"가뭄, 가뭄 피해, 농작물 가뭄, 가뭄 작황, 강수량 부족, 논밭 가뭄, 가뭄 농업, 가뭄 대비, 물 부족, 가뭄 영향",2018-05-01,0.05278
29,가뭄,"가뭄, 가뭄 피해, 농작물 가뭄, 가뭄 작황, 강수량 부족, 논밭 가뭄, 가뭄 농업, 가뭄 대비, 물 부족, 가뭄 영향",2018-06-01,0.05979
30,가뭄,"가뭄, 가뭄 피해, 농작물 가뭄, 가뭄 작황, 강수량 부족, 논밭 가뭄, 가뭄 농업, 가뭄 대비, 물 부족, 가뭄 영향",2018-07-01,0.08548
31,가뭄,"가뭄, 가뭄 피해, 농작물 가뭄, 가뭄 작황, 강수량 부족, 논밭 가뭄, 가뭄 농업, 가뭄 대비, 물 부족, 가뭄 영향",2018-08-01,0.15732
32,가뭄,"가뭄, 가뭄 피해, 농작물 가뭄, 가뭄 작황, 강수량 부족, 논밭 가뭄, 가뭄 농업, 가뭄 대비, 물 부족, 가뭄 영향",2018-09-01,0.03434
33,가뭄,"가뭄, 가뭄 피해, 농작물 가뭄, 가뭄 작황, 강수량 부족, 논밭 가뭄, 가뭄 농업, 가뭄 대비, 물 부족, 가뭄 영향",2018-10-01,0.03405
34,가뭄,"가뭄, 가뭄 피해, 농작물 가뭄, 가뭄 작황, 강수량 부족, 논밭 가뭄, 가뭄 농업, 가뭄 대비, 물 부족, 가뭄 영향",2018-11-01,0.03257
35,가뭄,"가뭄, 가뭄 피해, 농작물 가뭄, 가뭄 작황, 강수량 부족, 논밭 가뭄, 가뭄 농업, 가뭄 대비, 물 부족, 가뭄 영향",2018-12-01,0.02264
36,가뭄,"가뭄, 가뭄 피해, 농작물 가뭄, 가뭄 작황, 강수량 부족, 논밭 가뭄, 가뭄 농업, 가뭄 대비, 물 부족, 가뭄 영향",2019-01-01,0.02679
37,가뭄,"가뭄, 가뭄 피해, 농작물 가뭄, 가뭄 작황, 강수량 부족, 논밭 가뭄, 가뭄 농업, 가뭄 대비, 물 부족, 가뭄 영향",2019-02-01,0.0174
38,가뭄,"가뭄, 가뭄 피해, 농작물 가뭄, 가뭄 작황, 강수량 부족, 논밭 가뭄, 가뭄 농업, 가뭄 대비, 물 부족, 가뭄 영향",2019-03-01,0.02951
39,가뭄,"가뭄, 가뭄 피해, 농작물 가뭄, 가뭄 작황, 강수량 부족, 논밭 가뭄, 가뭄 농업, 가뭄 대비, 물 부족, 가뭄 영향",2019-04-01,0.08773
40,가뭄,"가뭄, 가뭄 피해, 농작물 가뭄, 가뭄 작황, 강수량 부족, 논밭 가뭄, 가뭄 농업, 가뭄 대비, 물 부족, 가뭄 영향",2019-05-01,0.06321
41,가뭄,"가뭄, 가뭄 피해, 농작물 가뭄, 가뭄 작황, 강수량 부족, 논밭 가뭄, 가뭄 농업, 가뭄 대비, 물 부족, 가뭄 영향",2019-06-01,0.05639
42,가뭄,"가뭄, 가뭄 피해, 농작물 가뭄, 가뭄 작황, 강수량 부족, 논밭 가뭄, 가뭄 농업, 가뭄 대비, 물 부족, 가뭄 영향",2019-07-01,0.073
43,가뭄,"가뭄, 가뭄 피해, 농작물 가뭄, 가뭄 작황, 강수량 부족, 논밭 가뭄, 가뭄 농업, 가뭄 대비, 물 부족, 가뭄 영향",2019-08-01,0.03304
44,가뭄,"가뭄, 가뭄 피해, 농작물 가뭄, 가뭄 작황, 강수량 부족, 논밭 가뭄, 가뭄 농업, 가뭄 대비, 물 부족, 가뭄 영향",2019-09-01,0.03201
45,가뭄,"가뭄, 가뭄 피해, 농작물 가뭄, 가뭄 작황, 강수량 부족, 논밭 가뭄, 가뭄 농업, 가뭄 대비, 물 부족, 가뭄 영향",2019-10-01,0.02983
46,가뭄,"가뭄, 가뭄 피해, 농작물 가뭄, 가뭄 작황, 강수량 부족, 논밭 가뭄, 가뭄 농업, 가뭄 대비, 물 부족, 가뭄 영향",2019-11-01,0.03314
47,가뭄,"가뭄, 가뭄 피해, 농작물 가뭄, 가뭄 작황, 강수량 부족, 논밭 가뭄, 가뭄 농업, 가뭄 대비, 물 부족, 가뭄 영향",2019-12-01,0.02281
48,가뭄,"가뭄, 가뭄 피해, 농작물 가뭄, 가뭄 작황, 강수량 부족, 논밭 가뭄, 가뭄 농업, 가뭄 대비, 물 부족, 가뭄 영향",2020-01-01,0.01446
49,가뭄,"가뭄, 가뭄 피해, 농작물 가뭄, 가뭄 작황, 강수량 부족, 논밭 가뭄, 가뭄 농업, 가뭄 대비, 물 부족, 가뭄 영향",2020-02-01,0.01306
50,가뭄,"가뭄, 가뭄 피해, 농작물 가뭄, 가뭄 작황, 강수량 부족, 논밭 가뭄, 가뭄 농업, 가뭄 대비, 물 부족, 가뭄 영향",2020-03-01,0.01828
51,가뭄,"가뭄, 가뭄 피해, 농작물 가뭄, 가뭄 작황, 강수량 부족, 논밭 가뭄, 가뭄 농업, 가뭄 대비, 물 부족, 가뭄 영향",2020-04-01,0.02852
52,가뭄,"가뭄, 가뭄 피해, 농작물 가뭄, 가뭄 작황, 강수량 부족, 논밭 가뭄, 가뭄 농업, 가뭄 대비, 물 부족, 가뭄 영향",2020-05-01,0.0646
53,가뭄,"가뭄, 가뭄 피해, 농작물 가뭄, 가뭄 작황, 강수량 부족, 논밭 가뭄, 가뭄 농업, 가뭄 대비, 물 부족, 가뭄 영향",2020-06-01,0.04567
54,가뭄,"가뭄, 가뭄 피해, 농작물 가뭄, 가뭄 작황, 강수량 부족, 논밭 가뭄, 가뭄 농업, 가뭄 대비, 물 부족, 가뭄 영향",2020-07-01,0.05048
55,가뭄,"가뭄, 가뭄 피해, 농작물 가뭄, 가뭄 작황, 강수량 부족, 논밭 가뭄, 가뭄 농업, 가뭄 대비, 물 부족, 가뭄 영향",2020-08-01,0.02846
56,가뭄,"가뭄, 가뭄 피해, 농작물 가뭄, 가뭄 작황, 강수량 부족, 논밭 가뭄, 가뭄 농업, 가뭄 대비, 물 부족, 가뭄 영향",2020-09-01,0.02526
57,가뭄,"가뭄, 가뭄 피해, 농작물 가뭄, 가뭄 작황, 강수량 부족, 논밭 가뭄, 가뭄 농업, 가뭄 대비, 물 부족, 가뭄 영향",2020-10-01,0.02741
58,가뭄,"가뭄, 가뭄 피해, 농작물 가뭄, 가뭄 작황, 강수량 부족, 논밭 가뭄, 가뭄 농업, 가뭄 대비, 물 부족, 가뭄 영향",2020-11-01,0.0305
59,가뭄,"가뭄, 가뭄 피해, 농작물 가뭄, 가뭄 작황, 강수량 부족, 논밭 가뭄, 가뭄 농업, 가뭄 대비, 물 부족, 가뭄 영향",2020-12-01,0.02593
60,가뭄,"가뭄, 가뭄 피해, 농작물 가뭄, 가뭄 작황, 강수량 부족, 논밭 가뭄, 가뭄 농업, 가뭄 대비, 물 부족, 가뭄 영향",2021-01-01,0.01824
61,가뭄,"가뭄, 가뭄 피해, 농작물 가뭄, 가뭄 작황, 강수량 부족, 논밭 가뭄, 가뭄 농업, 가뭄 대비, 물 부족, 가뭄 영향",2021-02-01,0.01352
62,가뭄,"가뭄, 가뭄 피해, 농작물 가뭄, 가뭄 작황, 강수량 부족, 논밭 가뭄, 가뭄 농업, 가뭄 대비, 물 부족, 가뭄 영향",2021-03-01,0.02578
63,가뭄,"가뭄, 가뭄 피해, 농작물 가뭄, 가뭄 작황, 강수량 부족, 논밭 가뭄, 가뭄 농업, 가뭄 대비, 물 부족, 가뭄 영향",2021-04-01,0.07615
64,가뭄,"가뭄, 가뭄 피해, 농작물 가뭄, 가뭄 작황, 강수량 부족, 논밭 가뭄, 가뭄 농업, 가뭄 대비, 물 부족, 가뭄 영향",2021-05-01,0.04203
65,가뭄,"가뭄, 가뭄 피해, 농작물 가뭄, 가뭄 작황, 강수량 부족, 논밭 가뭄, 가뭄 농업, 가뭄 대비, 물 부족, 가뭄 영향",2021-06-01,0.0542
66,가뭄,"가뭄, 가뭄 피해, 농작물 가뭄, 가뭄 작황, 강수량 부족, 논밭 가뭄, 가뭄 농업, 가뭄 대비, 물 부족, 가뭄 영향",2021-07-01,0.0502
67,가뭄,"가뭄, 가뭄 피해, 농작물 가뭄, 가뭄 작황, 강수량 부족, 논밭 가뭄, 가뭄 농업, 가뭄 대비, 물 부족, 가뭄 영향",2021-08-01,0.03802
68,가뭄,"가뭄, 가뭄 피해, 농작물 가뭄, 가뭄 작황, 강수량 부족, 논밭 가뭄, 가뭄 농업, 가뭄 대비, 물 부족, 가뭄 영향",2021-09-01,0.02898
69,가뭄,"가뭄, 가뭄 피해, 농작물 가뭄, 가뭄 작황, 강수량 부족, 논밭 가뭄, 가뭄 농업, 가뭄 대비, 물 부족, 가뭄 영향",2021-10-01,0.03018
70,가뭄,"가뭄, 가뭄 피해, 농작물 가뭄, 가뭄 작황, 강수량 부족, 논밭 가뭄, 가뭄 농업, 가뭄 대비, 물 부족, 가뭄 영향",2021-11-01,0.03107
71,가뭄,"가뭄, 가뭄 피해, 농작물 가뭄, 가뭄 작황, 강수량 부족, 논밭 가뭄, 가뭄 농업, 가뭄 대비, 물 부족, 가뭄 영향",2021-12-01,0.03119
72,가뭄,"가뭄, 가뭄 피해, 농작물 가뭄, 가뭄 작황, 강수량 부족, 논밭 가뭄, 가뭄 농업, 가뭄 대비, 물 부족, 가뭄 영향",2022-01-01,0.01997
73,가뭄,"가뭄, 가뭄 피해, 농작물 가뭄, 가뭄 작황, 강수량 부족, 논밭 가뭄, 가뭄 농업, 가뭄 대비, 물 부족, 가뭄 영향",2022-02-01,0.02364
74,가뭄,"가뭄, 가뭄 피해, 농작물 가뭄, 가뭄 작황, 강수량 부족, 논밭 가뭄, 가뭄 농업, 가뭄 대비, 물 부족, 가뭄 영향",2022-03-01,0.04195
75,가뭄,"가뭄, 가뭄 피해, 농작물 가뭄, 가뭄 작황, 강수량 부족, 논밭 가뭄, 가뭄 농업, 가뭄 대비, 물 부족, 가뭄 영향",2022-04-01,0.09099
76,가뭄,"가뭄, 가뭄 피해, 농작물 가뭄, 가뭄 작황, 강수량 부족, 논밭 가뭄, 가뭄 농업, 가뭄 대비, 물 부족, 가뭄 영향",2022-05-01,0.14375
77,가뭄,"가뭄, 가뭄 피해, 농작물 가뭄, 가뭄 작황, 강수량 부족, 논밭 가뭄, 가뭄 농업, 가뭄 대비, 물 부족, 가뭄 영향",2022-06-01,0.52343
78,가뭄,"가뭄, 가뭄 피해, 농작물 가뭄, 가뭄 작황, 강수량 부족, 논밭 가뭄, 가뭄 농업, 가뭄 대비, 물 부족, 가뭄 영향",2022-07-01,0.11747
79,가뭄,"가뭄, 가뭄 피해, 농작물 가뭄, 가뭄 작황, 강수량 부족, 논밭 가뭄, 가뭄 농업, 가뭄 대비, 물 부족, 가뭄 영향",2022-08-01,0.10585
80,가뭄,"가뭄, 가뭄 피해, 농작물 가뭄, 가뭄 작황, 강수량 부족, 논밭 가뭄, 가뭄 농업, 가뭄 대비, 물 부족, 가뭄 영향",2022-09-01,0.0497
81,가뭄,"가뭄, 가뭄 피해, 농작물 가뭄, 가뭄 작황, 강수량 부족, 논밭 가뭄, 가뭄 농업, 가뭄 대비, 물 부족, 가뭄 영향",2022-10-01,0.03954
82,가뭄,"가뭄, 가뭄 피해, 농작물 가뭄, 가뭄 작황, 강수량 부족, 논밭 가뭄, 가뭄 농업, 가뭄 대비, 물 부족, 가뭄 영향",2022-11-01,0.13417
83,가뭄,"가뭄, 가뭄 피해, 농작물 가뭄, 가뭄 작황, 강수량 부족, 논밭 가뭄, 가뭄 농업, 가뭄 대비, 물 부족, 가뭄 영향",2022-12-01,0.09234
84,가뭄,"가뭄, 가뭄 피해, 농작물 가뭄, 가뭄 작황, 강수량 부족, 논밭 가뭄, 가뭄 농업, 가뭄 대비, 물 부족, 가뭄 영향",2023-01-01,0.04744
85,가뭄,"가뭄, 가뭄 피해, 농작물 가뭄, 가뭄 작황, 강수량 부족, 논밭 가뭄, 가뭄 농업, 가뭄 대비, 물 부족, 가뭄 영향",2023-02-01,0.03433
86,가뭄,"가뭄, 가뭄 피해, 농작물 가뭄, 가뭄 작황, 강수량 부족, 논밭 가뭄, 가뭄 농업, 가뭄 대비, 물 부족, 가뭄 영향",2023-03-01,0.08957
87,가뭄,"가뭄, 가뭄 피해, 농작물 가뭄, 가뭄 작황, 강수량 부족, 논밭 가뭄, 가뭄 농업, 가뭄 대비, 물 부족, 가뭄 영향",2023-04-01,0.14169
88,가뭄,"가뭄, 가뭄 피해, 농작물 가뭄, 가뭄 작황, 강수량 부족, 논밭 가뭄, 가뭄 농업, 가뭄 대비, 물 부족, 가뭄 영향",2023-05-01,0.10843
89,가뭄,"가뭄, 가뭄 피해, 농작물 가뭄, 가뭄 작황, 강수량 부족, 논밭 가뭄, 가뭄 농업, 가뭄 대비, 물 부족, 가뭄 영향",2023-06-01,0.06328
90,가뭄,"가뭄, 가뭄 피해, 농작물 가뭄, 가뭄 작황, 강수량 부족, 논밭 가뭄, 가뭄 농업, 가뭄 대비, 물 부족, 가뭄 영향",2023-07-01,0.04862
91,가뭄,"가뭄, 가뭄 피해, 농작물 가뭄, 가뭄 작황, 강수량 부족, 논밭 가뭄, 가뭄 농업, 가뭄 대비, 물 부족, 가뭄 영향",2023-08-01,0.02432
92,가뭄,"가뭄, 가뭄 피해, 농작물 가뭄, 가뭄 작황, 강수량 부족, 논밭 가뭄, 가뭄 농업, 가뭄 대비, 물 부족, 가뭄 영향",2023-09-01,0.02581
93,가뭄,"가뭄, 가뭄 피해, 농작물 가뭄, 가뭄 작황, 강수량 부족, 논밭 가뭄, 가뭄 농업, 가뭄 대비, 물 부족, 가뭄 영향",2023-10-01,0.02728
94,가뭄,"가뭄, 가뭄 피해, 농작물 가뭄, 가뭄 작황, 강수량 부족, 논밭 가뭄, 가뭄 농업, 가뭄 대비, 물 부족, 가뭄 영향",2023-11-01,0.03047
95,가뭄,"가뭄, 가뭄 피해, 농작물 가뭄, 가뭄 작황, 강수량 부족, 논밭 가뭄, 가뭄 농업, 가뭄 대비, 물 부족, 가뭄 영향",2023-12-01,0.03178
96,가뭄,"가뭄, 가뭄 피해, 농작물 가뭄, 가뭄 작황, 강수량 부족, 논밭 가뭄, 가뭄 농업, 가뭄 대비, 물 부족, 가뭄 영향",2024-01-01,0.01765
97,가뭄,"가뭄, 가뭄 피해, 농작물 가뭄, 가뭄 작황, 강수량 부족, 논밭 가뭄, 가뭄 농업, 가뭄 대비, 물 부족, 가뭄 영향",2024-02-01,0.01559
98,가뭄,"가뭄, 가뭄 피해, 농작물 가뭄, 가뭄 작황, 강수량 부족, 논밭 가뭄, 가뭄 농업, 가뭄 대비, 물 부족, 가뭄 영향",2024-03-01,0.0239
99,가뭄,"가뭄, 가뭄 피해, 농작물 가뭄, 가뭄 작황, 강수량 부족, 논밭 가뭄, 가뭄 농업, 가뭄 대비, 물 부족, 가뭄 영향",2024-04-01,0.04376
100,가뭄,"가뭄, 가뭄 피해, 농작물 가뭄, 가뭄 작황, 강수량 부족, 논밭 가뭄, 가뭄 농업, 가뭄 대비, 물 부족, 가뭄 영향",2024-05-01,0.03935
101,가뭄,"가뭄, 가뭄 피해, 농작물 가뭄, 가뭄 작황, 강수량 부족, 논밭 가뭄, 가뭄 농업, 가뭄 대비, 물 부족, 가뭄 영향",2024-06-01,0.0441
102,가뭄,"가뭄, 가뭄 피해, 농작물 가뭄, 가뭄 작황, 강수량 부족, 논밭 가뭄, 가뭄 농업, 가뭄 대비, 물 부족, 가뭄 영향",2024-07-01,0.03584
103,가뭄,"가뭄, 가뭄 피해, 농작물 가뭄, 가뭄 작황, 강수량 부족, 논밭 가뭄, 가뭄 농업, 가뭄 대비, 물 부족, 가뭄 영향",2024-08-01,0.03333
104,가뭄,"가뭄, 가뭄 피해, 농작물 가뭄, 가뭄 작황, 강수량 부족, 논밭 가뭄, 가뭄 농업, 가뭄 대비, 물 부족, 가뭄 영향",2024-09-01,0.03408
105,가뭄,"가뭄, 가뭄 피해, 농작물 가뭄, 가뭄 작황, 강수량 부족, 논밭 가뭄, 가뭄 농업, 가뭄 대비, 물 부족, 가뭄 영향",2024-10-01,0.02642
106,가뭄,"가뭄, 가뭄 피해, 농작물 가뭄, 가뭄 작황, 강수량 부족, 논밭 가뭄, 가뭄 농업, 가뭄 대비, 물 부족, 가뭄 영향",2024-11-01,0.02707
107,가뭄,"가뭄, 가뭄 피해, 농작물 가뭄, 가뭄 작황, 강수량 부족, 논밭 가뭄, 가뭄 농업, 가뭄 대비, 물 부족, 가뭄 영향",2024-12-01,0.02826
108,가뭄,"가뭄, 가뭄 피해, 농작물 가뭄, 가뭄 작황, 강수량 부족, 논밭 가뭄, 가뭄 농업, 가뭄 대비, 물 부족, 가뭄 영향",2025-01-01,0.01559
109,가뭄,"가뭄, 가뭄 피해, 농작물 가뭄, 가뭄 작황, 강수량 부족, 논밭 가뭄, 가뭄 농업, 가뭄 대비, 물 부족, 가뭄 영향",2025-02-01,0.01469
110,가뭄,"가뭄, 가뭄 피해, 농작물 가뭄, 가뭄 작황, 강수량 부족, 논밭 가뭄, 가뭄 농업, 가뭄 대비, 물 부족, 가뭄 영향",2025-03-01,0.02085
111,가뭄,"가뭄, 가뭄 피해, 농작물 가뭄, 가뭄 작황, 강수량 부족, 논밭 가뭄, 가뭄 농업, 가뭄 대비, 물 부족, 가뭄 영향",2025-04-01,0.03343
112,가뭄,"가뭄, 가뭄 피해, 농작물 가뭄, 가뭄 작황, 강수량 부족, 논밭 가뭄, 가뭄 농업, 가뭄 대비, 물 부족, 가뭄 영향",2025-05-01,0.02009
113,태풍,"태풍, 태풍 피해, 태풍 강도, 태풍 피해 농가, 태풍 농작물, 태풍 수확, 태풍 침수, 태풍 경로, 태풍 피해 복구, 태풍 경보",2016-01-01,0.24998
114,태풍,"태풍, 태풍 피해, 태풍 강도, 태풍 피해 농가, 태풍 농작물, 태풍 수확, 태풍 침수, 태풍 경로, 태풍 피해 복구, 태풍 경보",2016-02-01,0.21282
115,태풍,"태풍, 태풍 피해, 태풍 강도, 태풍 피해 농가, 태풍 농작물, 태풍 수확, 태풍 침수, 태풍 경로, 태풍 피해 복구, 태풍 경보",2016-03-01,0.14019
116,태풍,"태풍, 태풍 피해, 태풍 강도, 태풍 피해 농가, 태풍 농작물, 태풍 수확, 태풍 침수, 태풍 경로, 태풍 피해 복구, 태풍 경보",2016-04-01,0.87016
117,태풍,"태풍, 태풍 피해, 태풍 강도, 태풍 피해 농가, 태풍 농작물, 태풍 수확, 태풍 침수, 태풍 경로, 태풍 피해 복구, 태풍 경보",2016-05-01,0.71121
118,태풍,"태풍, 태풍 피해, 태풍 강도, 태풍 피해 농가, 태풍 농작물, 태풍 수확, 태풍 침수, 태풍 경로, 태풍 피해 복구, 태풍 경보",2016-06-01,0.43044
119,태풍,"태풍, 태풍 피해, 태풍 강도, 태풍 피해 농가, 태풍 농작물, 태풍 수확, 태풍 침수, 태풍 경로, 태풍 피해 복구, 태풍 경보",2016-07-01,23.52669
120,태풍,"태풍, 태풍 피해, 태풍 강도, 태풍 피해 농가, 태풍 농작물, 태풍 수확, 태풍 침수, 태풍 경로, 태풍 피해 복구, 태풍 경보",2016-08-01,29.0875
121,태풍,"태풍, 태풍 피해, 태풍 강도, 태풍 피해 농가, 태풍 농작물, 태풍 수확, 태풍 침수, 태풍 경로, 태풍 피해 복구, 태풍 경보",2016-09-01,44.0432
122,태풍,"태풍, 태풍 피해, 태풍 강도, 태풍 피해 농가, 태풍 농작물, 태풍 수확, 태풍 침수, 태풍 경로, 태풍 피해 복구, 태풍 경보",2016-10-01,49.32628
123,태풍,"태풍, 태풍 피해, 태풍 강도, 태풍 피해 농가, 태풍 농작물, 태풍 수확, 태풍 침수, 태풍 경로, 태풍 피해 복구, 태풍 경보",2016-11-01,0.734
124,태풍,"태풍, 태풍 피해, 태풍 강도, 태풍 피해 농가, 태풍 농작물, 태풍 수확, 태풍 침수, 태풍 경로, 태풍 피해 복구, 태풍 경보",2016-12-01,0.4592
125,태풍,"태풍, 태풍 피해, 태풍 강도, 태풍 피해 농가, 태풍 농작물, 태풍 수확, 태풍 침수, 태풍 경로, 태풍 피해 복구, 태풍 경보",2017-01-01,0.29922
126,태풍,"태풍, 태풍 피해, 태풍 강도, 태풍 피해 농가, 태풍 농작물, 태풍 수확, 태풍 침수, 태풍 경로, 태풍 피해 복구, 태풍 경보",2017-02-01,0.21158
127,태풍,"태풍, 태풍 피해, 태풍 강도, 태풍 피해 농가, 태풍 농작물, 태풍 수확, 태풍 침수, 태풍 경로, 태풍 피해 복구, 태풍 경보",2017-03-01,0.19913
128,태풍,"태풍, 태풍 피해, 태풍 강도, 태풍 피해 농가, 태풍 농작물, 태풍 수확, 태풍 침수, 태풍 경로, 태풍 피해 복구, 태풍 경보",2017-04-01,0.27646
129,태풍,"태풍, 태풍 피해, 태풍 강도, 태풍 피해 농가, 태풍 농작물, 태풍 수확, 태풍 침수, 태풍 경로, 태풍 피해 복구, 태풍 경보",2017-05-01,0.33566
130,태풍,"태풍, 태풍 피해, 태풍 강도, 태풍 피해 농가, 태풍 농작물, 태풍 수확, 태풍 침수, 태풍 경로, 태풍 피해 복구, 태풍 경보",2017-06-01,0.49142
131,태풍,"태풍, 태풍 피해, 태풍 강도, 태풍 피해 농가, 태풍 농작물, 태풍 수확, 태풍 침수, 태풍 경로, 태풍 피해 복구, 태풍 경보",2017-07-01,23.96194
132,태풍,"태풍, 태풍 피해, 태풍 강도, 태풍 피해 농가, 태풍 농작물, 태풍 수확, 태풍 침수, 태풍 경로, 태풍 피해 복구, 태풍 경보",2017-08-01,14.57348
133,태풍,"태풍, 태풍 피해, 태풍 강도, 태풍 피해 농가, 태풍 농작물, 태풍 수확, 태풍 침수, 태풍 경로, 태풍 피해 복구, 태풍 경보",2017-09-01,18.73301
